category,brand,product,why_better,calories,protein,carbs,fat,sugar,ingredients,flavors
chips,Siete,Tortilla Chips,"grain-free, made with cassava and avocado oil",140,1,16,7,0,cassava flour;avocado oil;chia seed flour;sea salt,Sea Salt;Lime;Nacho;Chipotle BBQ;Cinnamon Cocoa;Grain Free
chips,Beanitos,Black Bean Chips,"made from whole black beans, high protein and fiber",140,4,15,6,0,black beans;long grain rice;sunflower oil;sea salt,Sea Salt;Cheddar;Chipotle BBQ;Hint of Lime
chips,LesserEvil,Popcorn,"organic popcorn popped in coconut oil, no canola",150,2,14,10,0,organic popcorn;organic coconut oil;himalayan pink salt,Himalayan Pink Salt;White Cheddah;Avocadolicious;Buttah;Veggie
chips,Hippeas,Chickpea Puffs,"chickpea-based, high in plant protein and fiber",130,4,17,5,1,chickpea flour;rice flour;sunflower oil;potato starch;sea salt;vegan cheddar seasoning,Vegan White Cheddar;Sriracha Sunshine;Vegan Ranch;Pepper Power;Maple Heat
chips,Mission Snacklin,Pork Rinds,"zero carbs, high protein, made from pork skin",80,9,0,5,0,pork skins;sea salt,Original;Smoky BBQ;Spicy
soda,Olipop,Prebiotic Soda,"prebiotic fiber, low sugar, supports gut health",45,0,11,0,5,filtered carbonated water;cassava root fiber;chicory root inulin;jerusalem artichoke;natural flavors;stevia,Vintage Cola;Strawberry Vanilla;Cherry Vanilla;Orange Cream;Root Beer;Lemon Lime;Tropical Punch;Cream Soda
soda,Poppi,Prebiotic Soda,"apple cider vinegar based, prebiotic, low sugar",20,0,5,0,4,carbonated water;apple cider vinegar;cane sugar;agave inulin;natural strawberry flavor;citric acid;stevia,Strawberry Lemon;Raspberry Rose;Watermelon;Orange;Cherry Limeade;Grape;Doc Pop;Classic Cola
soda,Zevia,Zero Sugar Soda,"zero calories, sweetened only with stevia leaf",0,0,0,0,0,carbonated water;stevia leaf extract;citric acid;natural flavors;caramel color,Cola;Cream Soda;Ginger Root Beer;Lemon Lime Twist;Strawberry;Black Cherry;Grape;Mountain Zevia
energy_drinks,Orka,Energy Water,"zero sugar, zero calories, just 5 ingredients",0,0,0,0,0,purified water;caffeine;natural flavor;malic acid;potassium sorbate,Lemon;Lime;Original
energy_drinks,Celsius,Sparkling Energy Drink,"zero sugar, 200mg caffeine from green tea, no artificial preservatives",10,0,2,0,0,carbonated water;citric acid;taurine;guarana extract;green tea extract;ginger root extract;sucralose;caffeine,Wild Berry;Sparkling Orange;Peach Mango;Tropical Punch;Sparkling Watermelon;Kiwi Guava
